active,cfr_citation,parent_agency_name,agency_name,description
0,,,Action ,"ACTION was established by Reorganization Plan No. 1 of 1971, effective July 1, 1971. 
ACTION's purpose was to mobilize Americans for voluntary service throughout the United States and in developing countries overseas through programs which help meet basic human needs and support the self-help efforts of low-income individuals and communities.
ACTION's functions relating to SCORE and ACT programs were transferred to the Small Business Administration. Other functions exercised by the Director of ACTION prior to March 31, 1995 were transferred to the Corporation for National and Community Service by 107 Stat. 888 and Proclamation 6662 of April 4, 1994. "
1,05 CFR 2500-2599,,"Administration Office, Executive Office of the President","Under authority of the Reorganization Act of 1939 (5 U.S.C. 133-133r, 133t note), various agencies were transferred to the Executive Office of the President by the President's Reorganization Plans I and II of 1939 (5 U.S.C. app.), effective July 1, 1939. Executive Order 8248 of September 8, 1939, established the divisions of the Executive Office and defined their functions. Subsequently, Presidents have used Executive orders, reorganization plans, and legislative initiatives to reorganize the Executive Office to make its composition compatible with the goals of their administrations."
1,,,Administrative Office of United States Courts,"The Administrative Office of the United States Courts is charged with the nonjudicial, administrative business of the United States Courts, including the maintenance of workload statistics and the disbursement of funds appropriated for the maintenance of the U.S. judicial system.
 
The Administrative Office of the United States Courts was created by act of August 7, 1939 (28 U.S.C. 601). The Office was established November 6, 1939. Its Director and Deputy Director are appointed by the Chief Justice of the United States after consultation with the Judicial Conference."
1,22 CFR 1500-1599,African Development Foundation ,African Development Foundation,"The African Development Foundation's goals are to alleviate poverty and promote broad-based sustainable development and empowerment in Africa; to expand local capacity to promote and support grassroots, participatory development; and to enhance and strengthen U.S. relations with Africa through effective development assistance. The African Development Foundation was established by the African Development Foundation Act (22 U.S.C. 290h) as a Government corporation to support the self-help efforts of the poor in Africa.
  The Foundation invests in private and nongovernmental organizations in Africa to promote and support innovative enterprise development, create jobs, and increase incomes of the poor. It seeks to expand local institutional and financial capacities to foster entrepreneurship, ownership, and community-based economic development."
1,48 CFR 5700-5799,African Development Foundation ,African Development Foundation,"The African Development Foundation's goals are to alleviate poverty and promote broad-based sustainable development and empowerment in Africa; to expand local capacity to promote and support grassroots, participatory development; and to enhance and strengthen U.S. relations with Africa through effective development assistance. The African Development Foundation was established by the African Development Foundation Act (22 U.S.C. 290h) as a Government corporation to support the self-help efforts of the poor in Africa.
  The Foundation invests in private and nongovernmental organizations in Africa to promote and support innovative enterprise development, create jobs, and increase incomes of the poor. It seeks to expand local institutional and financial capacities to foster entrepreneurship, ownership, and community-based economic development."
1,,Health and Human Services Department,Agency for Healthcare Research and Quality,"The Agency for Healthcare Research and Quality (AHRQ) is charged with improving the quality, safety, efficiency, and effectiveness of health care for all Americans. AHRQ supports health services research that will improve the quality of health care and promote evidence-based decisionmaking."
1,22 CFR 200-299,Agency for International Development,Agency for International Development,"The U.S. Agency for International Development administers U.S. foreign economic and humanitarian assistance programs worldwide in the developing world, Central and Eastern Europe, and Eurasia.
The United States Agency for International Development (USAID) is an independent Federal agency established by 22 U.S.C. 6563. Its principal statutory authority is the Foreign Assistance Act of 1961, as amended (22 U.S.C. 2151 et seq.). USAID serves as the focal point within the Government for economic matters affecting U.S. relations with developing countries. USAID administers international economic and humanitarian assistance programs. The Administrator is under the direct authority and foreign policy guidance of the Secretary of State."
1,48 CFR 700-799,Agency for International Development,Agency for International Development,"The U.S. Agency for International Development administers U.S. foreign economic and humanitarian assistance programs worldwide in the developing world, Central and Eastern Europe, and Eurasia.
The United States Agency for International Development (USAID) is an independent Federal agency established by 22 U.S.C. 6563. Its principal statutory authority is the Foreign Assistance Act of 1961, as amended (22 U.S.C. 2151 et seq.). USAID serves as the focal point within the Government for economic matters affecting U.S. relations with developing countries. USAID administers international economic and humanitarian assistance programs. The Administrator is under the direct authority and foreign policy guidance of the Secretary of State."
1,,Health and Human Services Department,Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry, as part of the Public Health Service, is charged with the prevention of exposure to toxic substances and the prevention of the adverse health effects and diminished quality of life associated with exposure to hazardous substances from waste sites, unplanned releases, and other sources of pollution present in the environment."
1,,Health and Human Services Department,Aging Administration,"The mission of the Administration on Aging is to help elderly individuals maintain their independence and dignity in their homes and communities through comprehensive, coordinated, and cost effective systems of long-term care and livable communities across the United States. The agency develops policies, plans, and programs designed to advance the concerns and interests of older people and their caregivers. 
The Administration works in partnership with the National Aging Network to promote the development of all-inclusive structures and home and community-based long-term care that is responsive to the needs and preferences of older people."
1,"07 CFR 27-52, 53-209, 900-1299",Agriculture Department,Agricultural Marketing Service,"The Agricultural Marketing Service (AMS) was established by the Secretary of Agriculture on April 2, 1972, under the authority of Reorganization Plan No. 2 of 1953 (5 U.S.C. app.) and other authorities. The Service administers standardization, grading, certification, market news, marketing orders, research and promotion, and regulatory programs. "
1,07 CFR 500-599,Agriculture Department,Agricultural Research Service,"The Agricultural Research Service (ARS) conducts research to develop and transfer solutions to agricultural problems of high national priority. It provides information access and dissemination to ensure high-quality safe food and other agricultural products; assess the nutritional needs of Americans; sustain a competitive agricultural economy; enhance the natural resource base and the environment; and provide economic opportunities for rural citizens, communities, and society as a whole."
1,,,Agricultural Trade and Export Policy National Commission,"The National Commission on Agricultural Trade and Export Policy was an independent Commission established pursuant to P.L. 98-412 signed August 30, 1984.
The duties of the Commission were to conduct studies of agricultural trade and export policies, programs, and practices of the United States, and to make recommendations to the President and Congress. "
1,02 CFR 400-499,Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
1,05 CFR 8300-8399,Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
1,"07 CFR 0-26, 3000-3099",Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
1,48 CFR 400-499,Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
1,32 CFR 800-1099,Defense Department,Air Force Department,"The Department of the Air Force is responsible for defending the United States through control and exploitation of air and space. The Department of the Air Force (USAF) was established as part of the National Military Establishment by the National Security Act of 1947 (61 Stat. 502) and came into being on September 18, 1947. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense, established it as an executive department, and made the Department of the Air Force a military department within the Department of Defense (63 Stat. 578). The Department of the Air Force is separately organized under the Secretary of the Air Force. It operates under the authority, direction, and control of the Secretary of Defense (10 U.S.C. 8010). The Department consists of the Office of the Secretary of the Air Force, the Air Staff, and field organizations."
1,48 CFR 5300-5399,Defense Department,Air Force Department,"The Department of the Air Force is responsible for defending the United States through control and exploitation of air and space. The Department of the Air Force (USAF) was established as part of the National Military Establishment by the National Security Act of 1947 (61 Stat. 502) and came into being on September 18, 1947. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense, established it as an executive department, and made the Department of the Air Force a military department within the Department of Defense (63 Stat. 578). The Department of the Air Force is separately organized under the Secretary of the Air Force. It operates under the authority, direction, and control of the Secretary of Defense (10 U.S.C. 8010). The Department consists of the Office of the Secretary of the Air Force, the Air Staff, and field organizations."
1,,,Air Quality National Commission,"The National Commission of Air Quality was a 13 member Commission created by the 1977 Clean Air Act Amendments. The Commission was required to report to Congress on the effectiveness of that law and on alternative approaches to controlling air pollution, in time for the next Congressional revision of clean air legislation. "
1,14 CFR 1300-1399,,Air Transportation Stabilization Board,"On September 22, 2001, President Bush signed into law the Air Transportation Safety and System Stabilization Act (""Act"") (Public Law 107-42). The Act establishes the Air Transportation Stabilization Board (""Board""). The Board may issue up to $10 billion in Federal credit instruments, e.g. (loan guarantees)."
0,,,"Alaska Natural Gas Transportation System, Office of Federal Inspector",
0,,Energy Department,Alaska Power Administration,"The Alaska Power Administration was established by the Secretary of the Interior in 1967. The Administration was abolished and its responsibilities transferred to the Department of Energy by act of August 4, 1977 (91 Stat. 578)."
1,27 CFR 1-399,Treasury Department,Alcohol and Tobacco Tax and Trade Bureau,The Alcohol and Tobacco Tax and Trade Bureau (TTB) administers and enforces the existing Federal laws and Tax Code provisions related to the production and taxation of alcohol and tobacco products. TTB also collects all excise taxes on the manufacture of firearms and ammunition.
1,27 CFR 400-699,Justice Department,"Alcohol, Tobacco, Firearms, and Explosives Bureau","The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) is responsible for enforcing Federal criminal laws and regulating the firearms and explosives industries. 
ATF, formerly known as the Bureau of Alcohol, Tobacco, and Firearms, was initially established by Department of Treasury Order No. 221, effective July 1, 1972, which transferred the functions, powers, and duties arising under laws relating to alcohol, tobacco, firearms, and explosives from the Internal Revenue Service to ATF. The Homeland Security Act of 2002 (6 U.S.C. 531) transferred certain functions and authorities of ATF to the Department of Justice and established it under its current name. ATF works, directly and through partnerships, to investigate and reduce violent crime involving firearms and explosives, acts of arson, and illegal trafficking of alcohol and tobacco products. 
The Bureau provides training and support to its Federal, State, local, and international law enforcement partners and works primarily in 23 field divisions across the 50 States, Puerto Rico, the U.S. Virgin Islands, and Guam. It also has foreign offices in Mexico, Canada, Colombia, and France."
1,36 CFR 400-499,,American Battle Monuments Commission,"The American Battle Monuments Commission (ABMC) was established by Congress in 1923 to commemorate the service, achievements, and sacrifice of U.S. armed forces where they have served overseas since 1917, and within the U.S. when directed by public law.
The ABMC commemorative mission is reflected in 24 overseas military cemeteries that serve as resting places for almost 125,000 American war dead; on Tablets of the Missing that memorialize more than 94,000 U.S. servicemen and women; and through 25 memorials, monuments and markers."
1,,,Amtrak Reform Council,"The Amtrak Reform Council was an independent bipartisan Federal commission established under the Amtrak Reform and Accountability Act of 1997 (P.L. 105-134). The Council consisted of eleven members whose statutory mandate was to make recommendations to Amtrak in order to help it reach operational self-sufficiency, and to report annually to Congress on Amtrak's performance.
On February 7, 2002, the Council released to Congress its Action Plan for the Restructuring and Rationalization of the National Intercity Rail Passenger System. The Council, in a vote of nine Council members in favor, one against, and one abstaining (Secretary of Transportation), adopted the Action Plan."
1,07 CFR 300-399,Agriculture Department,Animal and Plant Health Inspection Service,"The Animal and Plant Health Inspection Service was reestablished by the Secretary of Agriculture on March 14, 1977, pursuant to authority contained in 5 U.S.C. 301 and Reorganization Plan No. 2 of 1953 (5 U.S.C. app.).
The Service was established to conduct regulatory and control programs to protect and improve animal and plant health for the benefit of man and the environment. In cooperation with State governments, the agency administers Federal laws and regulations pertaining to animal and plant health and quarantine, humane treatment of animals, and the control and eradication of pests and diseases. Regulations to prevent the introduction or interstate spread of certain animal or plant pests or diseases are also enforced by the Service. It also carries out research and operational activities to reduce crop and livestock depredation caused by birds, rodents, and predators."
1,09 CFR 1-199,Agriculture Department,Animal and Plant Health Inspection Service,"The Animal and Plant Health Inspection Service was reestablished by the Secretary of Agriculture on March 14, 1977, pursuant to authority contained in 5 U.S.C. 301 and Reorganization Plan No. 2 of 1953 (5 U.S.C. app.).
The Service was established to conduct regulatory and control programs to protect and improve animal and plant health for the benefit of man and the environment. In cooperation with State governments, the agency administers Federal laws and regulations pertaining to animal and plant health and quarantine, humane treatment of animals, and the control and eradication of pests and diseases. Regulations to prevent the introduction or interstate spread of certain animal or plant pests or diseases are also enforced by the Service. It also carries out research and operational activities to reduce crop and livestock depredation caused by birds, rodents, and predators."
1,,Justice Department,Antitrust Division,"The Assistant Attorney General in charge of the Antitrust Division is responsible for promoting and maintaining competitive markets by enforcing the Federal antitrust laws. This involves investigating possible antitrust violations, conducting grand jury proceedings, reviewing proposed mergers and acquisitions, preparing and trying antitrust cases, prosecuting appeals, and negotiating and enforcing final judgments. The Division prosecutes serious and willful violations of antitrust laws by filing criminal suits that can lead to large fines and jail sentences. 
Where criminal prosecution is not appropriate, the Division seeks a court order forbidding future violations of the law and requiring steps by the defendant to remedy the anticompetitive effects of past violations.
The Division also is responsible for acting as an advocate of competition within the Federal Government as well as internationally. This involves formal appearances in Federal administrative agency proceedings, development of legislative initiatives to promote deregulation and eliminate unjustifiable exemptions from the antitrust laws, and participation on executive branch policy task forces and in multilateral international organizations. The Division provides formal advice to other agencies on the competitive implications of proposed transactions requiring Federal approval, such as mergers of financial institutions."
0,,,Antitrust Modernization Commission,"The Antitrust Modernization Commission was created pursuant to the Antitrust Modernization Commission Act of 2002 (P.L. 107-273). 
The Commission was charged by statute to examine whether the need exists to modernize the antitrust laws and to identify and study related issues; to solicit views of all parties concerned with the operation of the antitrust laws; to evaluate the advisability of proposals and current arrangements with respect to any issues so identified; and to prepare and submit to Congress and the President a report.
The Antitrust Modernization Commission submitted its Report and Recommendations to Congress and the President on April 2, 2007. The Antitrust Modernization Commission terminated on May 31, 2007, pursuant to the Antitrust Modernization Commission Act, as amended"
1,05 CFR 1900-1999,,Appalachian Regional Commission,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a partnership of federal, state, and local government. Established by an act of Congress in 1965, ARC is composed of the governors of the 13 Appalachian states and a federal co-chair, who is appointed by the president. Local participation is provided through multi-county local development districts.
ARC funds projects that address the four goals identified in the Commission's strategic plan:
(1) Increase job opportunities and per capita income in Appalachia to reach parity with the nation. 
(2) Strengthen the capacity of the people of Appalachia to compete in the global economy. 
(3) Develop and improve Appalachia's infrastructure to make the Region economically competitive. 
(4) Build the Appalachian Development Highway System to reduce Appalachia's isolation. 
Each year ARC provides funding for several hundred projects in the Appalachian Region, in areas such as business development, education and job training, telecommunications, infrastructure, community development, housing, and transportation. These projects create thousands of new jobs; improve local water and sewer systems; increase school readiness; expand access to health care; assist local communities with strategic planning; and provide technical and managerial assistance to emerging businesses."
1,,,Appalachian States Low-Level Radioactive Waste Commission,"In 1986, Maryland ratified the Appalachian States Low-Level Radioactive Waste Compact (Chapter 33, Acts of 1986). Delaware, Pennsylvania, and West Virginia also have ratified the Compact. The Compact established the Appalachian States Low-Level Radioactive Waste Commission to assure interstate cooperation for the proper management and disposal of low-level radioactive wastes. 
The Commission identifies a host state (based on the volume and curie content of radioactive waste generated) to receive and dispose of radioactive waste from party states. Pennsylvania is currently the host state. Costs and benefits are distributed equitably among party states. Wastes generated outside the region may be banned by the Commission. 
To reduce the volume of low-level radioactive waste, the Commission conducts research and recommends regulations. The Commission also prepares contingency plans in the event the regional facility is closed and enters into temporary agreements for emergency disposal."
