agency_name,parent_agency_name,section_1_title,section_2_title
Action,,Health & Public Welfare,
"Administration Office, Executive Office of the President",,Health & Public Welfare,
Administrative Office of United States Courts,,Health & Public Welfare,
African Development Foundation,,World,
Agency for Healthcare Research and Quality,Health and Human Services Department,Health & Public Welfare,
Agency for International Development,,World,
Agency for Toxic Substances and Disease Registry,Health and Human Services Department,Health & Public Welfare,
Aging Administration,Health and Human Services Department,Health & Public Welfare,
Agricultural Marketing Service,Agriculture Department,Business & Industry,
Agricultural Research Service,Agriculture Department,Science & Technology,
Agricultural Trade and Export Policy National Commission,,World,
Agriculture Department,,Science & Technology,Business & Industry
Air Force Department,Defense Department,World,Science & Technology
Air Quality National Commission,,Environment,
Air Transportation Stabilization Board,,Business & Industry,
"Alaska Natural Gas Transportation System, Office of Federal Inspector",,Science & Technology,
Alaska Power Administration,Energy Department,Environment,Business & Industry
Alcohol and Tobacco Tax and Trade Bureau,Treasury Department,Money,Business & Industry
"Alcohol, Tobacco, Firearms, and Explosives Bureau",Justice Department,Health & Public Welfare,
American Battle Monuments Commission,,Health & Public Welfare,
Amtrak Reform Council,,Business & Industry,
Animal and Plant Health Inspection Service,Agriculture Department,Business & Industry,Health & Public Welfare
Antitrust Division,Justice Department,Money,Business & Industry
Antitrust Modernization Commission,,Money,Business & Industry
Appalachian Regional Commission,,Health & Public Welfare,
Appalachian States Low-Level Radioactive Waste Commission,,Environment,
Architect of the Capitol,,Health & Public Welfare,
Architectural and Transportation Barriers Compliance Board,,Health & Public Welfare,
Arctic Research Commission,,Science & Technology,
Armed Forces Retirement Home,,Health & Public Welfare,
Arms Control and Disarmament Agency,,World,
Army Department,Defense Department,World,Science & Technology
Assassination Records Review Board,,Health & Public Welfare,
"Audit Office, Agriculture Department",Agriculture Department,,
Aviation Safety Commission,,Science & Technology,Health & Public Welfare
Barry M. Goldwater Scholarship and Excellence in Education Foundation,,Money,
"Benefits Review Board, Labor Department",Labor Department,Money,Business & Industry
Bipartisan Commission on Entitlement and Tax Reform,,Money,Business & Industry
Board of Directors of the Hope for Homeowners Program,,Health & Public Welfare,
Bonneville Power Administration,Energy Department,Environment,Science & Technology
Broadcasting Board of Governors,,Science & Technology,
Census Bureau,Commerce Department,Business & Industry,Health & Public Welfare
Census Monitoring Board,,Business & Industry,Health & Public Welfare
Centers for Disease Control and Prevention,Health and Human Services Department,Science & Technology,Health & Public Welfare
Centers for Medicare & Medicaid Services,Health and Human Services Department,Health & Public Welfare,
Central Intelligence Agency,,World,
Chemical Safety and Hazard Investigation Board,,Environment,Health & Public Welfare
Child Support Enforcement Office,Health and Human Services Department,Money,Health & Public Welfare
Children and Families Administration,Health and Human Services Department,Health & Public Welfare,
Christopher Columbus Quincentenary Jubilee Commission,,Health & Public Welfare,
Civil Liberties Public Education Fund Board,,Health & Public Welfare,
Civil Rights Commission,,Health & Public Welfare,
Coast Guard,Homeland Security Department,Environment,World
Commerce Department,,Business & Industry,Science & Technology
Commercial Space Transportation Office,Transportation Department,Science & Technology,Business & Industry
Commission for the Improvement of the Federal Crop Insurance Program,,Money,Business & Industry
Commission of Fine Arts,,Health & Public Welfare,
Commission on Agricultural Workers,,Business & Industry,
Commission on Education of the Deaf,,Health & Public Welfare,
"Commission on Executive, Legislative, and Judicial Salaries",,Money,Health & Public Welfare
Commission on Immigration Reform,,World,
Commission on Interstate Child Support,,Money,Health & Public Welfare
Commission on Merchant Marine and Defense,,World,
Commission on Minority Business Development,,Business & Industry,
Commission on Protecting and Reducing Government Secrecy,,Health & Public Welfare,
Commission on Railroad Retirement Reform,,Business & Industry,
Commission on Review of Overseas Military Facility Structure of the United States,,World,
Commission on Structural Alternatives for the Federal Courts of Appeals,,Health & Public Welfare,
Commission on the Advancement of Federal Law Enforcement,,Health & Public Welfare,
Commission on the Bicentennial of the United States Constitution,,Health & Public Welfare,
Commission on the Future of the United States Aerospace Industry,,Science & Technology,
Commission on the Social Security Notch Issue,,Money,
Commission on the Ukraine Famine,,World,
Committee for Purchase From People Who Are Blind or Severely Disabled,,Business & Industry,
Committee for the Implementation of Textile Agreements,,World,Business & Industry
Commodity Credit Corporation,Agriculture Department,Money,Business & Industry
Commodity Futures Trading Commission,,Money,Business & Industry
Community Development Financial Institutions Fund,Treasury Department,Money,Business & Industry
Competitiveness Policy Council,,Business & Industry,
Comptroller of the Currency,Treasury Department,Money,Business & Industry
