number,citation,signing_date,document_number,notes
12890, 59 FR 499,1993-12-30,94-290,
12891, 59 FR 2935,1994-01-15,94-1531,"Revoked by: EO 13062, September 29, 1997"
12892, 59 FR 2939,1994-01-17,94-1532,"Amends: EO 11063, November 20, 1962
Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980
See: Memorandum, January 17, 1994"
12893, 59 FR 4233,1994-01-26,94-2261,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980"
12894, 59 FR 4237,1994-01-26,94-2267,"See: Memorandum, January 17, 1994"
12895, 59 FR 4239,1994-01-26,94-2266,
12896, 59 FR 5515,1994-02-03,94-2904,
12897, 59 FR 5517,1994-02-03,94-2905,See: 59 FR 14541
12898, 59 FR 7629,1994-02-11,94-3685,"Amends: EO 12250, November 2, 1980
Amended by: EO 12948, January 30, 1995"
12899, 59 FR 8113,1994-02-15,94-3853,
12900, 59 FR 9061,1994-02-22,94-4472,"Revokes: EO 12729, September 24, 1990
Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001
Revoked by: EO 13230, October 12, 2001"
12901, 59 FR 10727,1994-03-03,94-5434,"Amended by: EO 12973, September 27, 1995"
12902, 59 FR 11463,1994-03-08,94-5834,"Revokes: EO 12759, April 17, 1991
See: EO 13101, September 14, 1998
Revoked by: EO 13123, June 3, 1999"
12903, 59 FR 11473,1994-03-09,94-5915,"Supersedes: EO 12840, March 9, 1993
Superseded by: EO 12955, March 9, 199"
12904, 59 FR 13179,1994-03-16,94-6696,
12905, 59 FR 14733,1994-03-25,94-7635,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
See: EO 13585, September 30, 2011"
12906, 59 FR 17671,1994-04-11,94-9117,"Amended by: EO 13286, February 28, 2003"
12907, 59 FR 18291,1994-04-14,94-9419,"Amends: EO 12882, November 23, 1993
Revoked by: EO 13226, September 30, 2001"
