agency_name,parent_agency_name,description
Action ,,"ACTION was established by Reorganization Plan No. 1 of 1971, effective July 1, 1971. 
ACTION’s purpose was to mobilize Americans for voluntary service throughout the United States and in developing countries overseas through programs which help meet basic human needs and support the self-help efforts of low-income individuals and communities.
ACTION administered and coordinated the domestic and international volunteer programs sponsored by the Federal Government which are linked by a commitment to a “bottom-up” development process which fostered self-reliance and utilized available human and economic resources to overcome conditions of poverty.  Through special demonstration grants and programs, ACTION also tests new ways of brining volunteer resources to bear on human, social, and economic problems. It identified and developed the widest possible range of volunteer service opportunities for Americans of all ages and backgrounds.
ACTION’s functions relating to SCORE and ACT programs were transferred to the Small Business Administration. Other functions exercised by the Director of ACTION prior to March 31, 1995 were transferred to the Corporation for National and Community Service by 107 Stat. 888 and Proclamation 6662 of April 4, 1994. "
"Administration Office, Executive Office of the President",,"Under authority of the Reorganization Act of 1939 (5 U.S.C. 133-133r, 133t note), various agencies were transferred to the Executive Office of the President by the President's Reorganization Plans I and II of 1939 (5 U.S.C. app.), effective July 1, 1939. Executive Order 8248 of September 8, 1939, established the divisions of the Executive Office and defined their functions. Subsequently, Presidents have used Executive orders, reorganization plans, and legislative initiatives to reorganize the Executive Office to make its composition compatible with the goals of their administrations."
Administrative Office of United States Courts,,"The Administrative Office of the United States Courts is charged with the nonjudicial, administrative business of the United States Courts, including the maintenance of workload statistics and the disbursement of funds appropriated for the maintenance of the U.S. judicial system.
  
The Administrative Office of the United States Courts was created by act of August 7, 1939 (28 U.S.C. 601). The Office was established November 6, 1939. Its Director and Deputy Director are appointed by the Chief Justice of the United States after consultation with the Judicial Conference."
African Development Foundation,African Development Foundation ,"The African Development Foundation's goals are to alleviate poverty and promote broad-based sustainable development and empowerment in Africa; to expand local capacity to promote and support grassroots, participatory development; and to enhance and strengthen U.S. relations with Africa through effective development assistance. The African Development Foundation was established by the African Development Foundation Act (22 U.S.C. 290h) as a Government corporation to support the self-help efforts of the poor in Africa.
    The Foundation invests in private and nongovernmental organizations in Africa to promote and support innovative enterprise development, create jobs, and increase incomes of the poor. It seeks to expand local institutional and financial capacities to foster entrepreneurship, ownership, and community-based economic development."
African Development Foundation,African Development Foundation ,"The African Development Foundation's goals are to alleviate poverty and promote broad-based sustainable development and empowerment in Africa; to expand local capacity to promote and support grassroots, participatory development; and to enhance and strengthen U.S. relations with Africa through effective development assistance. The African Development Foundation was established by the African Development Foundation Act (22 U.S.C. 290h) as a Government corporation to support the self-help efforts of the poor in Africa.
    The Foundation invests in private and nongovernmental organizations in Africa to promote and support innovative enterprise development, create jobs, and increase incomes of the poor. It seeks to expand local institutional and financial capacities to foster entrepreneurship, ownership, and community-based economic development."
Agency for Healthcare Research and Quality,Health and Human Services Department,"The Agency for Healthcare Research and Quality (AHRQ) is charged with improving the quality, safety, efficiency, and effectiveness of health care for all Americans. AHRQ supports health services research that will improve the quality of health care and promote evidence-based decisionmaking."
Agency for International Development,Agency for International Development,"The U.S. Agency for International Development administers U.S. foreign economic and humanitarian assistance programs worldwide in the developing world, Central and Eastern Europe, and Eurasia.
The United States Agency for International Development (USAID) is an independent Federal agency established by 22 U.S.C. 6563. Its principal statutory authority is the Foreign Assistance Act of 1961, as amended (22 U.S.C. 2151 et seq.). USAID serves as the focal point within the Government for economic matters affecting U.S. relations with developing countries. USAID administers international economic and humanitarian assistance programs. The Administrator is under the direct authority and foreign policy guidance of the Secretary of State."
Agency for International Development,Agency for International Development,"The U.S. Agency for International Development administers U.S. foreign economic and humanitarian assistance programs worldwide in the developing world, Central and Eastern Europe, and Eurasia.
The United States Agency for International Development (USAID) is an independent Federal agency established by 22 U.S.C. 6563. Its principal statutory authority is the Foreign Assistance Act of 1961, as amended (22 U.S.C. 2151 et seq.). USAID serves as the focal point within the Government for economic matters affecting U.S. relations with developing countries. USAID administers international economic and humanitarian assistance programs. The Administrator is under the direct authority and foreign policy guidance of the Secretary of State."
Agency for Toxic Substances and Disease Registry,Health and Human Services Department,"The Agency for Toxic Substances and Disease Registry, as part of the Public Health Service, is charged with the prevention of exposure to toxic substances and the prevention of the adverse health effects and diminished quality of life associated with exposure to hazardous substances from waste sites, unplanned releases, and other sources of pollution present in the environment."
Aging Administration,Health and Human Services Department,"The mission of the Administration on Aging is to help elderly individuals maintain their independence and dignity in their homes and communities through comprehensive, coordinated, and cost effective systems of long-term care and livable communities across the United States. The agency develops policies, plans, and programs designed to advance the concerns and interests of older people and their caregivers. 
The Administration works in partnership with the National Aging Network to promote the development of all-inclusive structures and home and community-based long-term care that is responsive to the needs and preferences of older people."
Agricultural Marketing Service,Agriculture Department,"The Agricultural Marketing Service (AMS) was established by the Secretary of Agriculture on April 2, 1972, under the authority of Reorganization Plan No. 2 of 1953 (5 U.S.C. app.) and other authorities. The Service administers standardization, grading, certification, market news, marketing orders, research and promotion, and regulatory programs. "
Agricultural Research Service,Agriculture Department,"The Agricultural Research Service (ARS) conducts research to develop and transfer solutions to agricultural problems of high national priority. It provides information access and dissemination to ensure high-quality safe food and other agricultural products; assess the nutritional needs of Americans; sustain a competitive agricultural economy; enhance the natural resource base and the environment; and provide economic opportunities for rural citizens, communities, and society as a whole."
Agricultural Trade and Export Policy National Commission,,"The National Commission on Agricultural Trade and Export Policy was an independent Commission established pursuant to P.L. 98-412 signed August 30, 1984.
The duties of the Commission were to conduct studies of agricultural trade and export policies, programs, and practices of the United States, and to make recommendations to the President and Congress. "
Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
Agriculture Department,Agriculture Department,"The Department of Agriculture works to improve and maintain farm income and to develop and expand markets abroad for agricultural products. The Department helps to curb and cure poverty, hunger, and malnutrition. It works to enhance the environment and to maintain production capacity by helping landowners protect the soil, water, forests, and other natural resources. The Department, through inspection and grading services, safeguards and ensures standards of quality in the daily food supply.
The Department of Agriculture (USDA) was created by act of May 15, 1862 (7 U.S.C. 2201)."
Air Force Department,Defense Department,"The Department of the Air Force is responsible for defending the United States through control and exploitation of air and space. The Department of the Air Force (USAF) was established as part of the National Military Establishment by the National Security Act of 1947 (61 Stat. 502) and came into being on September 18, 1947. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense, established it as an executive department, and made the Department of the Air Force a military department within the Department of Defense (63 Stat. 578). The Department of the Air Force is separately organized under the Secretary of the Air Force. It operates under the authority, direction, and control of the Secretary of Defense (10 U.S.C. 8010). The Department consists of the Office of the Secretary of the Air Force, the Air Staff, and field organizations."
Air Force Department,Defense Department,"The Department of the Air Force is responsible for defending the United States through control and exploitation of air and space. The Department of the Air Force (USAF) was established as part of the National Military Establishment by the National Security Act of 1947 (61 Stat. 502) and came into being on September 18, 1947. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense, established it as an executive department, and made the Department of the Air Force a military department within the Department of Defense (63 Stat. 578). The Department of the Air Force is separately organized under the Secretary of the Air Force. It operates under the authority, direction, and control of the Secretary of Defense (10 U.S.C. 8010). The Department consists of the Office of the Secretary of the Air Force, the Air Staff, and field organizations."
Air Quality National Commission,,"The National Commission of Air Quality was a 13 member Commission created by the 1977 Clean Air Act Amendments. The Commission was required to report to Congress on the effectiveness of that law and on alternative approaches to controlling air pollution, in time for the next Congressional revision of clean air legislation. "
Air Transportation Stabilization Board,,"On September 22, 2001, President Bush signed into law the Air Transportation Safety and System Stabilization Act (""Act"") (Public Law 107-42). The Act establishes the Air Transportation Stabilization Board (""Board""). The Board may issue up to $10 billion in Federal credit instruments, e.g. (loan guarantees)."
"Alaska Natural Gas Transportation System, Office of Federal Inspector",,
Alaska Power Administration,Energy Department,"The Alaska Power Administration was established by the Secretary of the Interior in 1967.
The Administration was responsible for operating and marketing power for Federal hydroelectric projects in Alaska and for planning programs for future water and power developments.
Planning programs involve engineering, economic, and environmental analyses of potential future power projects, as well as transmission system and power marketing studies. Close cooperation is maintained with other Federal State and local entities.
Power operations and marketing functions involving the Eklutna and Snettisham Hydroelectric Projects included projects’ transmission systems serving the Anchorage and Juneau areas.
The Alaska Power Administration was abolished and its responsibilities transferred to the Department of Energy by act of August 4, 1977 (91 Stat. 578)."
Alcohol and Tobacco Tax and Trade Bureau,Treasury Department,The Alcohol and Tobacco Tax and Trade Bureau (TTB) dministers and enforces the existing Federal laws and Tax Code provisions related to the production and taxation of alcohol and tobacco products. TTB also collects all excise taxes on the manufacture of firearms and ammunition.
