pai_identifier,agency_name,agency_count,agency_names,agency_slug
ABMC,American Battle Monuments Commission,1,['American Battle Monuments Commission'],american-battle-monuments-commission
ACHP,Advisory Council on Historic Preservation,1,['Advisory Council on Historic Preservation'],advisory-council-on-historic-preservation
ACTION,Action,1,['Action'],action
ACUS,Administrative Conference of the United States,1,['Administrative Conference of the United States'],administrative-conference-of-the-united-states
ADF,African Develpment Foundation,2,"['African Develpment Foundation', 'African Development Foundation']",african-development-foundation
AFRH, Armed Forces Retirement Home ,2,"[' Armed Forces Retirement Home ', 'Armed Forces Retirement Home']",armed-forces-retirement-home
AID,Agency for International Development,1,['Agency for International Development'],agency-for-international-development
ARMCNTRL,Arms Control and Disarmament Agency,1,['Arms Control and Disarmament Agency'],arms-control-and-disarmament-agency
ARMY,"Department of Defense, Department of the Army",1,"['Department of Defense, Department of the Army']",army-department
ARRB,Assassination Records Review Board,1,['Assassination Records Review Board'],assassination-records-review-board
ATBCB,Architectural and Transportation Barriers Compliance Board,1,['Architectural and Transportation Barriers Compliance Board'],architectural-and-transportation-barriers-compliance-board
BBG,Broadcasting Board of Governors,1,['Broadcasting Board of Governors'],broadcasting-board-of-governors
BGFRS,Federal Reserve System,1,['Federal Reserve System'],federal-reserve-system
BROAD,Board for International Broadcasting,1,['Board for International Broadcasting'],international-broadcasting-advisory-board
CBH,"Privacy Act Issuance for the
        Committee for Purchase for People Who Are Blind or Disabled
    ",2,"['Privacy Act Issuance for the\n        Committee for Purchase for People Who Are Blind or Disabled\n    ', 'Committee for Purchase for People Who Are Blind or Disabled']",committee-for-purchase-from-people-who-are-blind-or-severely-disabled
CFA,Commission of Fine Arts,2,"['Commission of Fine Arts', 'Commission on Fine Arts']",commission-of-fine-arts
CFPB,Consumer Financial Protection Bureau,2,"['Consumer Financial Protection Bureau', ' Consumer Financial Protection Bureau ']",consumer-financial-protection-bureau
CFTC,Commodity Futures Trading Commission,1,['Commodity Futures Trading Commission'],commodity-futures-trading-commission
CIA,Central Intelligence Agency,1,['Central Intelligence Agency'],central-intelligence-agency
CIGIE,Council of the Inspectors General on Integrity and Efficiency,1,['Council of the Inspectors General on Integrity and Efficiency'],council-of-the-inspectors-general-on-integrity-and-efficiency
CNCS,Corporation for National and Community Service,1,['Corporation for National and Community Service'],corporation-for-national-and-community-service
CO,"Copyright Office, Library of Congress",1,"['Copyright Office, Library of Congress']",copyright-office-library-of-congress
COMMERCE,Department of Commerce,1,['Department of Commerce'],commerce-department
COPYROYL,Copyright Royalty Tribunal,1,['Copyright Royalty Tribunal'],copyright-royalty-board
COUNCIL,Gulf Ecosystem Restoration Council,1,['Gulf Ecosystem Restoration Council'],gulf-coast-ecosystem-restoration-council
CPSC,Consumer Product Safety Commission,1,['Consumer Product Safety Commission'],consumer-product-safety-commission
