Agency ID,Agency Name
ACFR,ADMINISTRATIVE COMMITTEE OF THE FEDERAL REGISTER
ACHP,ADVISORY COUNCIL ON HISTORIC PRESERVATION
ACUS,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES
ADF,AFRICAN DEVELOPMENT FOUNDATION
ATSB,AIR TRANSPORTATION STABILIZATION BOARD
ABMC,AMERICAN BATTLE MONUMENTS COMMISSION
AMC,ANTITRUST MODERNIZATION COMMISSION
APPAL,APPALACHIAN STATES LOW-LEVEL RADIOACTIVE WASTE COMMISSION
ARCTIC,ARCTIC RESEARCH COMMISSION
ARCTICGAS,OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS
AFRH,ARMED FORCES RETIREMENT HOME
BGSEEF,BARRY M. GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION
HOPE,BOARD OF DIRECTORS OF THE HOPE FOR HOMEOWNERS PROGRAM
BBG,BROADCASTING BOARD OF GOVERNORS
CIA,CENTRAL INTELLIGENCE AGENCY
CIGIE,COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY
CSB,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD
CRC,CIVIL RIGHTS COMMISSION
COFA,COMMISSION OF FINE ARTS
CROMFS,COMMISSION ON REVIEW OF OVERSEAS MILITARY FACILITY STRUCTURE OF THE UNITED STATES
CPPBSD,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED
CITA,COMMITTEE FOR THE IMPLEMENTATION OF TEXTILE AGREEMENTS
CFTC,COMMODITY FUTURES TRADING COMMISSION
CDFIF,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND
CCJJDP,COORDINATING COUNCIL ON JUVENILE JUSTICE AND DELINQUENCY PREVENTION
CRB,"COPYRIGHT ROYALTY BOARD, LIBRARY OF CONGRESS"
CEQ,COUNCIL ON ENVIRONMENTAL QUALITY
CSOSA,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA
DBCRC,DEFENSE BASE CLOSURE AND REALIGNMENT COMMISSION
DCAA,DEFENSE CONTRACT AUDIT AGENCY
DFC,DEVELOPMENT FINANCE CORPORATION
DISA,DEFENSE INFORMATION SYSTEMS AGENCY
DIA,DEFENSE INTELLIGENCE AGENCY
DLA,DEFENSE LOGISTICS AGENCY
DNFSB,DEFENSE NUCLEAR FACILITIES SAFETY BOARD
DRBC,DELAWARE RIVER BASIN COMMISSION
DC,DENALI COMMISSION
EOP,EXECUTIVE OFFICE OF THE PRESIDENT
FCA,FARM CREDIT ADMINISTRATION
FCSIC,FARM CREDIT SYSTEM INSURANCE CORPORATION
FASAB,FEDERAL ACCOUNTING STANDARDS ADVISORY BOARD
FCC,FEDERAL COMMUNICATIONS COMMISSION
FDIC,FEDERAL DEPOSIT INSURANCE CORPORATION
FEC,FEDERAL ELECTION COMMISSION
FERC,FEDERAL ENERGY REGULATORY COMMISSION
OFHEO,FEDERAL HOUSING ENTERPRISE OVERSIGHT OFFICE
FHFA,FEDERAL HOUSING FINANCE AGENCY
FHFB,FEDERAL HOUSING FINANCE BOARD
FLRA,FEDERAL LABOR RELATIONS AUTHORITY
FMC,FEDERAL MARITIME COMMISSION
FMCS,FEDERAL MEDIATION AND CONCILIATION SERVICE
MSHFRC,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION
FRS,FEDERAL RESERVE SYSTEM
FINCIC,FINANCIAL CRISIS INQUIRY COMMISSION
GAO,GOVERNMENT ACCOUNTABILITY OFFICE
GCERC,GULF COAST ECOSYSTEM RESTORATION COUNCIL
GEO,GOVERNMENT ETHICS OFFICE
GPO,GOVERNMENT PRINTING OFFICE
HST,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION
HPAC,"HISTORIC PRESERVATION, ADVISORY COUNCIL"
IAF,INTER-AMERICAN FOUNDATION
IIO,INTERNATIONAL INVESTMENT OFFICE
IAIA,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT
ITC,INTERNATIONAL TRADE COMMISSION
JBEA,JOINT BOARD FOR ENROLLMENT OF ACTUARIES
USJC,JUDICIAL CONFERENCE OF THE UNITED STATES
LSC,LEGAL SERVICES CORPORATION
LOC,LIBRARY OF CONGRESS
MMC,MARINE MAMMALCOMMISSION
MPAC,MEDICARE PAYMENT ADVISORY COMMISSION
MSPB,MERIT SYSTEMS PROTECTION BOARD
