Acronym,Agency
ACF,Administration of Children and Families
ACL,Administration for Community Living
AHRQ,Agency for Healthcare Research and Quality
AID,Agency for International Development
AMS,Agricultural Marketing Service
AOA,Administration on Aging
APHIS,Animal and Plant Health Inspection Service
ARS,Agricultural Research Service
ASC,Appraisal Subcommittee
ATBCB,Architectural and Transportation Barriers Compliance Board
ATF,"Alcohol, Tobacco, Firearms, and Explosives Bureau"
ATR,Antitrust Division
ATSDR,Agency for Toxic Substances and Disease Registry
BIA,Bureau of Indian Affairs
BIS,Bureau of Industry and Security
BLM,Bureau of Land Management
BLS,Bureau of Labor Statistics
BOEM,Bureau of Ocean Energy Management
BOP,Federal Prisons Bureau
BOR,Bureau of Reclamation
BPA,Bonneville Power Administration
BPD,Bureau of Public Debt
BSC,Business Standards Council
BSEE,Bureau of Safety and Environmental Enforcement
CCC,Commodity Credit Corporation
CDC,Centers for Disease Control and Prevention
CDFI,Community Development Financial Institutions Fund
CEQ,Council on Environmental Quality
CFPB,Consumer Financial Protection Bureau
CISA,Cybersecurity and Infrastructure Security Agency
CMS,Centers for Medicare&Medicaid Services
CNCS,Corporation for National and Community Service
COE,Corps of Engineers
COLC,U.S. Copyright Office
CPPBSD,Committee for Purchase From People Who Are Blind Or Severely Disabled
CPSC,Consumer Product Safety Commission
CSB,Chemical Safety and Hazard Investigation Board
CSEO,Child Support Enforcement Office
CSREES,"Cooperative State Research, Education, and Extension Service"
DARS,Defense Acquisition Regulations System
DEA,Drug Enforcement Administration
DEPO,Disability Employment Policy Office
DHS,Department of Homeland Security
DOC,Department of Commerce
DOD,Department of Defense
DOE,Department of Energy
DOI,Department of the Interior
DOJ,Department of Justice
DOL,Department of Labor
DOS,U.S. Department of State
DOT,Department of Transportation
EAB,Bureau of Economic Analysis
EAC,Election Assistance Commission
EBSA,Employee Benefits Security Administration
ECAB,Employees' Compensation Appeals Board
ECSA,Economics and Statistics Administration
ED,Department of Education
EDA,Economic Development Administration
EEOC,Equal Employment Opportunity Commission
EERE,Energy Efficiency and Renewable Energy Office
EIA,Energy Information Administration
EIB,Export Import Bank of the United States
EOA,"Energy Office, Agriculture Department"
EOIR,Executive Office for Immigration Review
EPA,Environmental Protection Agency
ERS,Economic Research Service
ESA,Employment Standards Administration
ETA,Employment and Training Administration
FAA,Federal Aviation Administration
FAR,Federal Acquisition Regulation
FAS,Foreign Agricultural Service
FBI,Federal Bureau of Investigation
FCIC,Federal Crop Insurance Corporation
FCSC,Foreign Claims Settlement Commission
FDA,Food and Drug Administration
FEMA,Federal Emergency Management Agency
FFIEC,Federal Financial Institutions Examination Council
FHWA,Federal Highway Administration
FINCEN,Financial Crimes Enforcement Network
FIRSTNET,First Responder Network Authority
FISCAL,Fiscal Service
FLETC,Federal Law Enforcement Training Center
FMCSA,Federal Motor Carrier Safety Administration
FNS,Food and Nutrition Service
FRA,Federal Railroad Administration
FRTIB,Federal Retirement Thrift Investment Board
FS,Forest Service
FSA,Farm Service Agency
FSIS,Food Safety and Inspection Service
FSOC,Financial Stability Oversight Council
FTA,Federal Transit Administration
FTC,Federal Trade Commission
FTZB,Foreign-trade Zones Board
FWS,Fish and Wildlife Service
GIPSA,"Grain Inspection, Packers and Stockyards Administration"
GSA,General Services Administration
HHS,Department of Health and Human Services
HHSIG,"Inspector General Office, Health and Human Services Department"
HRSA,Health Resources and Services Administration
HUD,Department of Housing and Urban Development
IACB,Indian Arts and Crafts Board
ICEB,Immigration and Customs Enforcement Bureau
IHS,Indian Health Service
IRS,Internal Revenue Service
ISOO,Information Security Oversight Office
ITA,International Trade Administration
LMSO,Labor-management Standards Office
MARAD,Maritime Administration
MBDA,Minority Business Development Agency
MMS,Minerals Management Service
MSHA,Mine Safety and Health Administration
NAL,National Agricultural Library
NARA,National Archives and Records Administration
NASA,National Aeronautics and Space Administration
NASS,National Agricultural Statistics Service
NCS,National Communications System
NCUA,National Credit Union Administration
NEO,Nuclear Energy Office
NHTSA,National Highway Traffic Safety Administration
NIC,National Institute of Corrections
NIFA,National Institute of Food and Agriculture
NIGC,National Indian Gaming Commission
NIH,National Institutes of Health
NIST,National Institute of Standards and Technology
NLRB,National Labor Relations Board
NNSA,National Nuclear Security Administration
NOAA,National Oceanic and Atmospheric Administration
NPS,National Park Service
NRC,Nuclear Regulatory Commission
NRCS,Natural Resources Conservation Service
NSF,National Science Foundation
NTIA,National Telecommunications and Information Administration
NTSB,National Transportation Safety Board
OCC,Comptroller of the Currency
OEPNU,Office of Energy Policy and New Uses
OFAC,Office of Foreign Assets Control
OFCCP,Office of Federal Contract Compliance Programs
OFPP,Office of Federal Procurement Policy
OFR,Office of the Federal Register
OJJDP,Juvenile Justice and Delinquency Prevention Office
OJP,Justice Programs Office
OMB,Office of Management and Budget
ONDCP,Office of National Drug Control Policy
ONRR,Office of Natural Resources Revenue
OPM,Office of Personnel Management
OPPM,Office of Procurement and Property Management
OSHA,Occupational Safety and Health Administration
OSM,Office of Surface Mining Reclamation and Enforcement
OTS,Office of Thrift Supervision
PBGC,Pension Benefit Guaranty Corporation
PCLOB,Privacy and Civil Liberties Oversight Board
PCSCOTUS,Presidential Commission on the Supreme Court of the United States
PHMSA,Pipeline and Hazardous Materials Safety Administration
PTO,Patent and Trademark Office
RBS,Rural Business-Cooperative Service
RHS,Rural Housing Service
RITA,Research and Innovative Technology Administration
RMA,Risk Management Agency
RTB,Rural Telephone Bank
RUS,Rural Utilities Service
SAMHSA,Substance Abuse and Mental Health Services Administration
SBA,Small Business Administration
SEPA,Southeastern Power Administration
SLSDC,Saint Lawrence Seaway Development Corporation
SSA,Social Security Administration
SWPA,Southwestern Power Administration
TA,Technology Administration
TREAS,Department of the Treasury
TSA,Transportation Security Administration
TTB,Alcohol and Tobacco Tax and Trade Bureau
USA,Army Department
USAF,Air Force Department
USBC,Bureau of the Census
USC,United States Courts
USCBP,Customs and Border Protection Bureau
USCG,Coast Guard
USCIS,U.S. Citizenship and Immigration Services
USDA,Department of Agriculture
USDAIG,"Inspector General Office, Agriculture Department"
USGS,U. S. Geological Survey
USMINT,United States Mint
USN,Navy Department
USPC,Parole Commission
USTR,Office of United States Trade Representative
VA,Department of Veterans Affairs
VETS,Veterans Employment and Training Service
WAPA,Western Area Power Administration
WCPO,Workers Compensation Programs Office
WHD,Wage and Hour Division
