section_title,cfr
Business & Industry,01 CFR 400-500
Business & Industry,"07 CFR 0-26, 3000-3099"
Business & Industry,07 CFR 1600-1699
Business & Industry,"07 CFR 1800-2099, 4200-4299"
Business & Industry,07 CFR 2600-2699
Business & Industry,"07 CFR 27-52, 53-209, 900-1299"
Business & Industry,07 CFR 3300-3399
Business & Industry,07 CFR 3600-3699
Business & Industry,07 CFR 3700-3799
Business & Industry,13 CFR 1-199
Business & Industry,13 CFR 300-399
Business & Industry,14 CFR 1300-1399
Business & Industry,14 CFR 200-399
Business & Industry,15 CFR 0-29
Business & Industry,15 CFR 1400-1499
Business & Industry,15 CFR 300-399
Business & Industry,15 CFR 400-499
Business & Industry,15 CFR 800-899
Business & Industry,16 CFR 0-999
Business & Industry,18 CFR 1300-1399
Business & Industry,20 CFR 1-199
Business & Industry,20 CFR 1000-1099
Business & Industry,20 CFR 200-399
Business & Industry,20 CFR 500-599
Business & Industry,20 CFR 600-699
Business & Industry,20 CFR 700-799
Business & Industry,20 CFR 800-899
Business & Industry,"23 CFR 1-999, 1200-1299"
Business & Industry,28 CFR 300-399
Business & Industry,29 CFR 0-99
Business & Industry,29 CFR 100-199
Business & Industry,29 CFR 1200-1299
Business & Industry,29 CFR 1400-1499
Business & Industry,29 CFR 1600-1699
Business & Industry,"29 CFR 200-299, 400-499"
Business & Industry,29 CFR 2500-2599
Business & Industry,29 CFR 300-399
Business & Industry,29 CFR 4000-4099
Business & Industry,29 CFR 500-899
Business & Industry,29 CFR 900-999
Business & Industry,37 CFR 1-199
Business & Industry,37 CFR 200-299
Business & Industry,37 CFR 300-399
Business & Industry,37 CFR 400-599
Business & Industry,39 CFR 1-999
Business & Industry,39 CFR 3000-3099
Business & Industry,46 CFR 200-399
Business & Industry,46 CFR 500-599
Business & Industry,49 CFR 1-99
Business & Industry,49 CFR 1000-1399
Business & Industry,49 CFR 200-299
Business & Industry,49 CFR 600-699
Business & Industry,49 CFR 700-799
Environment,01 CFR 400-500
Environment,07 CFR 2700-2799
Environment,07 CFR 2800-2899
Environment,07 CFR 3100-3199
Environment,07 CFR 600-699
Environment,10 CFR 1300-1399
Environment,10 CFR 1700-1799
Environment,10 CFR 1800-1899
Environment,18 CFR 400-499
Environment,18 CFR 700-799
Environment,18 CFR 800-899
Environment,30 CFR 200-299
Environment,30 CFR 300-399
Environment,30 CFR 400-499
Environment,30 CFR 700-999
Environment,36 CFR 1-199
Environment,36 CFR 1000-1099
Environment,36 CFR 200-299
Environment,36 CFR 300-399
Environment,36 CFR 400-499
Environment,36 CFR 800-899
Environment,36 CFR 900-999
Environment,"40 CFR 1-1499, 1700-1799"
Environment,40 CFR 1400-1499
Environment,40 CFR 1500-1599
Environment,40 CFR 1600-1699
Environment,40 CFR 1700-1799
Environment,43 CFR 1-199
Environment,43 CFR 1000-9999
Environment,43 CFR 10000-10005
Environment,43 CFR 200-299
Environment,"50 CFR 1-199, 400-499"
Environment,"50 CFR 200-499, 600-699"
Environment,50 CFR 400-499
Environment,50 CFR 400-499
Environment,50 CFR 500-599
Health & Public Welfare,01 CFR 50-299
Health & Public Welfare,"07 CFR 1800-2099, 3500-3599"
Health & Public Welfare,07 CFR 210-299
Health & Public Welfare,07 CFR 300-399
Health & Public Welfare,07 CFR 800-899
Health & Public Welfare,09 CFR 1-199
Health & Public Welfare,09 CFR 200-299
Health & Public Welfare,09 CFR 300-599
Health & Public Welfare,12 CFR 1200-1299
Health & Public Welfare,15 CFR 30-199
Health & Public Welfare,16 CFR 1000-1799
Health & Public Welfare,20 CFR 400-499
Health & Public Welfare,21 CFR 1-1299
Health & Public Welfare,21 CFR 1300-1399
Health & Public Welfare,21 CFR 1400-1499
Health & Public Welfare,23 CFR 1200-1399
Health & Public Welfare,"24 CFR  1-299, 400-599, 700-1799, 3200-3899, 4000-4099"
Health & Public Welfare,24 CFR 25
Health & Public Welfare,"25 CFR 1-299, 900-1099"
Health & Public Welfare,25 CFR 1200-1299
Health & Public Welfare,25 CFR 1200-1299
Health & Public Welfare,25 CFR 300-399
Health & Public Welfare,25 CFR 500-599
Health & Public Welfare,25 CFR 700-799
Health & Public Welfare,25 CFR 900-999
Health & Public Welfare,"28 CFR 0-199, 1100-1199"
Health & Public Welfare,28 CFR 500-599
Health & Public Welfare,"28 CFR 600-699, 700-799"
Health & Public Welfare,28 CFR 800-899
Health & Public Welfare,28 CFR 900-999
Health & Public Welfare,29 CFR 1900-1999
Health & Public Welfare,29 CFR 2200-2499
Health & Public Welfare,29 CFR 2700-2799
Health & Public Welfare,30 CFR 1-199
Health & Public Welfare,36 CFR 1100-1199
Health & Public Welfare,36 CFR 1200-1299
Health & Public Welfare,36 CFR 500-599
Health & Public Welfare,36 CFR 700-799
Health & Public Welfare,38 CFR 0-199
Health & Public Welfare,38 CFR 200-299
Health & Public Welfare,42 CFR 1-199
Health & Public Welfare,42 CFR 1000-1999
Health & Public Welfare,42 CFR 400-599
Health & Public Welfare,45 CFR 1-199
Health & Public Welfare,"45 CFR 1100-1199, 1700-1799, 2100-2199"
Health & Public Welfare,"45 CFR 1200-1299, 2500-2599"
Health & Public Welfare,45 CFR 1600-1699
Health & Public Welfare,45 CFR 1800-1899
Health & Public Welfare,45 CFR 200-299
Health & Public Welfare,"45 CFR 200-499, 1000-1099"
Health & Public Welfare,45 CFR 300-399
Health & Public Welfare,45 CFR 700-799
Health & Public Welfare,45 CFR 800-899
Health & Public Welfare,49 CFR 100-199
Health & Public Welfare,49 CFR 300-399
Health & Public Welfare,49 CFR 500-599
Health & Public Welfare,49 CFR 800-899
Money,01 CFR 400-500
Money,"02 CFR 1, 100-180, 200-299"
Money,02 CFR 1100-1199
Money,02 CFR 1200-1299
Money,02 CFR 1300-1399
Money,02 CFR 1400-1499
Money,02 CFR 1500-1599
Money,02 CFR 1800-1899
Money,02 CFR 2000-2099
Money,02 CFR 2200-2299
Money,02 CFR 2300-2399
Money,02 CFR 2400-2499
Money,02 CFR 2500-2599
Money,02 CFR 2600-2699
Money,02 CFR 2700-2799
Money,02 CFR 2800-2899
Money,02 CFR 300-399 
Money,02 CFR 3100-3399
Money,02 CFR 3500-3599
Money,02 CFR 3700-3799
Money,02 CFR 400-499
Money,02 CFR 600-699
Money,02 CFR 800-899
Money,02 CFR 900-999
Money,04 CFR 1-199
Money,04 CFR 1-199
Money,04 CFR 200-299
Money,07 CFR 1400-1499
Money,07 CFR 2200-2299
Money,07 CFR 3200-3299
Money,07 CFR 400-499
Money,07 CFR 700-799
Money,12 CFR 1-199
Money,12 CFR 1100-1199
Money,12 CFR 1400-1499
Money,12 CFR 1500-1599
Money,12 CFR 1800-1899
Money,12 CFR 200-299
Money,12 CFR 300-399
Money,12 CFR 400-499
Money,12 CFR 500-599
Money,12 CFR 600-699
Money,12 CFR 700-799
Money,12 CFR 800-899
Money,12 CFR 900-999
Money,13 CFR 400-499
Money,13 CFR 500-599
Money,17 CFR 1-199
Money,17 CFR 200-301
Money,17 CFR 400-450
Money,20 CFR 900-999
Money,24 CFR 300-399
Money,26 CFR 1-899
Money,27 CFR 1-399
Money,"31 CFR 0-50, 800-999"
Money,31 CFR 200-399
Money,31 CFR 400-499
Money,31 CFR 500-599
Money,31 CFR 51-199
Money,31 CFR 600-699
Money,31 CFR 700-799
Money,31 CFR 900-904
Money,36 CFR 1501-1599
Money,36 CFR 1600
Money,"41 CFR 101, 102, 105, 300, 301,  302, 303, 304"
Money,41 CFR 109
Money,41 CFR 114
Money,41 CFR 115
Money,41 CFR 128
Money,41 CFR 50
Money,41 CFR 51
Money,41 CFR 60
Money,41 CFR 61
Money,45 CFR 1800-1899
Money,45 CFR 2400-2499
Money,48 CFR 1-99
Money,48 CFR 1000-1099
Money,48 CFR 1200-1299
Money,48 CFR 1300-1399
Money,48 CFR 1400-1499
Money,48 CFR 1500-1599
Money,"48 CFR 1600-1799, 2100-2199"
Money,48 CFR 1800-1899
Money,48 CFR 1900-1999
Money,48 CFR 200-299
Money,48 CFR 2000-2099
Money,48 CFR 2300-2399
Money,48 CFR 2400-2499
Money,48 CFR 2500-2599
Money,48 CFR 2800-2899
Money,48 CFR 2900-2999
Money,48 CFR 300-399
Money,48 CFR 3001-3099
Money,48 CFR 3400-3499
Money,48 CFR 400-499
Money,48 CFR 500-599
Money,48 CFR 5100-5199
Money,48 CFR 5200-5299
Money,48 CFR 5300-5399
Money,48 CFR 5452
Money,48 CFR 5700-5799
Money,48 CFR 600-699
Money,48 CFR 6100-6199
Money,48 CFR 6300-6399
Money,48 CFR 700-799
Money,48 CFR 800-899
Money,48 CFR 900-999
Money,48 CFR 9900-9999
Science & Technology,"07 CFR 1700-2099,  4200-4299"
Science & Technology,07 CFR 2900-2999
Science & Technology,07 CFR 3400-3499
Science & Technology,07 CFR 500-599
Science & Technology,10 CFR 0-199
Science & Technology,"10 CFR 200-999, 1000-1099"
Science & Technology,"14 CFR 1-199, 400-1199"
Science & Technology,14 CFR 1200-1299
Science & Technology,14 CFR 400-1199
Science & Technology,15 CFR 1100-1199
Science & Technology,15 CFR 200-299
Science & Technology,15 CFR 2300-2399
Science & Technology,15 CFR 900-999
Science & Technology,18 CFR 1-399
Science & Technology,32 CFR 1200-1299
Science & Technology,32 CFR 2400-2499
Science & Technology,34 CFR 1-699
Science & Technology,34 CFR 1100-1199
Science & Technology,34 CFR 1200-1299
Science & Technology,45 CFR 2300-2399
Science & Technology,45 CFR 600-699
Science & Technology,47 CFR 0-199
Science & Technology,47 CFR 200-299
Science & Technology,47 CFR 200-299
Science & Technology,47 CFR 300-499
Science & Technology,47 CFR 400-499
Science & Technology,49 CFR 1400-1499
World,02 CFR 3000-3099
World,06 CFR 1-99
World,07 CFR 1500-1599
World,07 CFR 3800-3899
World,08 CFR 1-507
World,08 CFR 1001-1399
World,15 CFR 1300-1399
World,15 CFR 2000-2099
World,15 CFR 700-799
World,19 CFR 0-199
World,19 CFR 200-299
World,19 CFR 300-399
World,19 CFR 400-599
World,22 CFR 1-199
World,22 CFR 1000-1099
World,22 CFR 1100-1199
World,22 CFR 1200-1299
World,22 CFR 1300-1399
World,22 CFR 1400-1499
World,22 CFR 1400-1499
World,22 CFR 1400-1499
World,22 CFR 1500-1599
World,22 CFR 1600-1699
World,22 CFR 1700-1799
World,22 CFR 200-299
World,22 CFR 300-399
World,22 CFR 400-499
World,22 CFR 500-599
World,22 CFR 700-799
World,22 CFR 900-999
World,27 CFR 400-699
World,28 CFR 1100-1199
World,32 CFR 1-399
World,32 CFR 1600-1699
World,32 CFR 1700-1799
World,32 CFR 1800-1899
World,32 CFR 1900-1999
World,32 CFR 2000-2099
World,32 CFR 2100-2199
World,32 CFR 2700-2799
World,32 CFR 400-699
World,32 CFR 700-799
World,32 CFR 800-1099
World,33 CFR 1-199
World,33 CFR 200-399
World,33 CFR 400-499
World,44 CFR 0-399
World,44 CFR 400-499
World,44 CFR 400-499
World,45 CFR 400-499
World,45 CFR 500-599
World,"46 CFR 1-199, 400-499"
World,49 CFR 1500-1699
World,49 CFR 400-499
